episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,throttle,brake
14,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,0.778,0.0
14,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,0.778,0.0
14,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,0.779,0.0
14,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.78,0.0
14,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,0.781,0.0
14,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,0.782,0.0
14,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,0.783,0.0
14,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,0.784,0.0
14,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,0.785,0.0
14,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.786,0.0
14,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.787,0.0
14,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.788,0.0
14,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,0.743,0.0
14,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,0.701,0.0
14,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,0.668,0.0
14,0.8,16,accelerate,1.035,1.004,12.813,8.004,4.809,0.031,0.657,0.0
14,0.85,17,accelerate,1.162,1.118,12.816,8.118,4.698,0.045,0.644,0.0
14,0.9,18,accelerate,1.301,1.265,12.819,8.265,4.554,0.036,0.625,0.0
14,0.95,19,accelerate,1.417,1.369,12.822,8.369,4.453,0.048,0.613,0.0
14,1.0,20,accelerate,1.543,1.421,12.829,8.421,4.408,0.121,0.61,0.0
14,1.05,21,accelerate,1.645,1.5,12.838,8.5,4.338,0.144,0.602,0.0
14,1.1,22,accelerate,1.806,1.584,12.851,8.584,4.267,0.222,0.596,0.0
14,1.15,23,accelerate,1.917,1.712,12.864,8.712,4.151,0.205,0.581,0.0
14,1.2,24,accelerate,2.082,1.772,12.879,8.772,4.108,0.31,0.579,0.0
14,1.25,25,accelerate,2.228,1.863,12.899,8.863,4.035,0.365,0.572,0.0
14,1.3,26,accelerate,2.418,1.909,12.924,8.909,4.015,0.509,0.575,0.0
14,1.35,27,accelerate,2.584,1.993,12.954,8.993,3.961,0.592,0.571,0.0
14,1.4,28,accelerate,2.755,2.051,12.99,9.051,3.939,0.705,0.572,0.0
14,1.45,29,accelerate,2.842,2.144,13.028,9.144,3.884,0.699,0.565,0.0
14,1.5,30,accelerate,2.887,2.21,13.065,9.21,3.855,0.677,0.561,0.0
14,1.55,31,accelerate,2.886,2.307,13.099,9.307,3.792,0.58,0.55,0.0
14,1.6,32,accelerate,2.919,2.377,13.13,9.377,3.753,0.542,0.545,0.0
14,1.65,33,accelerate,2.98,2.458,13.159,9.458,3.701,0.522,0.538,0.0
14,1.7,34,accelerate,3.108,2.504,13.19,9.504,3.686,0.604,0.539,0.0
14,1.75,35,accelerate,3.256,2.583,13.224,9.583,3.641,0.673,0.536,0.0
14,1.8,36,accelerate,3.447,2.66,13.263,9.66,3.603,0.787,0.535,0.0
14,1.85,37,accelerate,3.624,2.755,13.307,9.755,3.552,0.869,0.532,0.0
14,1.9,38,accelerate,3.752,2.828,13.354,9.828,3.526,0.924,0.531,0.0
14,1.95,39,accelerate,3.783,2.919,13.4,9.919,3.482,0.864,0.523,0.0
14,2.0,40,accelerate,3.783,2.99,13.443,9.99,3.453,0.793,0.518,0.0
14,2.05,41,accelerate,3.797,3.076,13.481,10.076,3.405,0.721,0.509,0.0
14,2.1,42,accelerate,3.888,3.144,13.519,10.144,3.375,0.744,0.507,0.0
14,2.15,43,accelerate,4.026,3.225,13.559,10.225,3.333,0.8,0.504,0.0
14,2.2,44,accelerate,4.199,3.289,13.603,10.289,3.314,0.91,0.505,0.0
14,2.25,45,accelerate,4.381,3.367,13.653,10.367,3.286,1.014,0.506,0.0
14,2.3,46,accelerate,4.541,3.43,13.708,10.43,3.278,1.111,0.508,0.0
14,2.35,47,accelerate,4.619,3.506,13.765,10.506,3.259,1.112,0.506,0.0
14,2.4,48,accelerate,4.628,3.57,13.82,10.57,3.25,1.058,0.504,0.0
14,2.45,49,accelerate,4.627,3.645,13.872,10.645,3.227,0.982,0.499,0.0
14,2.5,50,accelerate,4.685,3.695,13.922,10.695,3.227,0.99,0.5,0.0
14,2.55,51,accelerate,4.803,3.764,13.973,10.764,3.209,1.039,0.499,0.0
14,2.6,52,accelerate,4.956,3.827,14.028,10.827,3.201,1.128,0.502,0.0
14,2.65,53,accelerate,5.128,3.896,14.089,10.896,3.192,1.231,0.505,0.0
14,2.7,54,accelerate,5.243,3.957,14.153,10.957,3.196,1.286,0.507,0.0
14,2.75,55,accelerate,5.09,4.024,14.211,11.024,3.187,1.065,0.499,0.0
14,2.8,56,accelerate,5.093,4.084,14.263,11.084,3.179,1.009,0.497,0.0
14,2.85,57,accelerate,5.0,4.148,14.309,11.148,3.161,0.852,0.49,0.0
14,2.9,58,accelerate,5.459,4.204,14.365,11.204,3.161,1.255,0.504,0.0
14,2.95,59,accelerate,5.818,4.25,14.439,11.25,3.188,1.568,0.518,0.0
14,3.0,60,accelerate,5.924,4.314,14.519,11.314,3.205,1.61,0.523,0.0
14,3.05,61,accelerate,5.894,4.381,14.597,11.381,3.215,1.512,0.521,0.0
14,3.1,62,accelerate,5.845,4.447,14.669,11.447,3.222,1.398,0.519,0.0
14,3.15,63,accelerate,5.815,4.515,14.736,11.515,3.221,1.3,0.516,0.0
14,3.2,64,accelerate,5.815,4.581,14.799,11.581,3.219,1.234,0.514,0.0
14,3.25,65,accelerate,5.848,4.646,14.86,11.646,3.215,1.202,0.513,0.0
14,3.3,66,accelerate,5.915,4.708,14.921,11.708,3.213,1.207,0.513,0.0
14,3.35,67,accelerate,6.014,4.756,14.983,11.756,3.227,1.259,0.518,0.0
14,3.4,68,accelerate,6.142,4.821,15.048,11.821,3.227,1.321,0.52,0.0
14,3.45,69,accelerate,6.136,4.885,15.112,11.885,3.227,1.251,0.518,0.0
14,3.5,70,accelerate,6.131,4.948,15.173,11.948,3.225,1.183,0.516,0.0
14,3.55,71,accelerate,6.633,5.01,15.242,12.01,3.232,1.623,0.533,0.0
14,3.6,72,accelerate,7.16,5.071,15.338,12.071,3.266,2.088,0.553,0.0
14,3.65,73,accelerate,7.555,4.996,15.457,11.996,3.461,2.559,0.595,0.0
14,3.7,74,accelerate,7.722,5.016,15.589,12.016,3.573,2.707,0.616,0.0
14,3.75,75,accelerate,7.703,5.094,15.722,12.094,3.627,2.609,0.62,0.0
14,3.8,76,accelerate,7.626,5.031,15.852,12.031,3.821,2.595,0.646,0.0
14,3.85,77,accelerate,7.518,5.055,15.979,12.055,3.924,2.463,0.656,0.0
14,3.9,78,accelerate,7.405,5.243,16.09,12.243,3.847,2.162,0.637,0.0
14,3.95,79,accelerate,7.305,5.215,16.196,12.215,3.981,2.09,0.653,0.0
14,4.0,80,accelerate,7.248,5.2,16.299,12.2,4.099,2.048,0.668,0.0
14,4.05,81,accelerate,7.239,5.203,16.401,12.203,4.198,2.036,0.682,0.0
14,4.1,82,accelerate,7.276,5.225,16.503,12.225,4.279,2.051,0.693,0.0
14,4.15,83,accelerate,7.341,5.276,16.606,12.276,4.33,2.064,0.701,0.0
14,4.2,84,accelerate,7.448,5.354,16.71,12.354,4.356,2.094,0.707,0.0
14,4.25,85,accelerate,7.583,5.454,16.816,12.454,4.362,2.129,0.709,0.0
14,4.3,86,accelerate,7.741,5.577,16.924,12.577,4.347,2.164,0.709,0.0
14,4.35,87,accelerate,7.905,5.716,17.032,12.716,4.316,2.189,0.707,0.0
14,4.4,88,accelerate,8.086,5.868,17.142,12.868,4.274,2.218,0.703,0.0
