episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
1,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,0,0.05
1,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.003,5.822,0.0,0.778,0.0,1,0.0
1,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
1,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
1,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,1,0.0
1,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.782,0.0,0,0.05
1,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.783,0.0,1,0.0
1,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.784,0.0,0,0.05
1,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
1,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.786,0.0,0,0.05
1,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.787,0.0,0,0.1
1,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,1,0.0
1,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.818,0.0,5.514,-0.304,0.738,0.0,0,0.05
1,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.408,12.794,0.0,5.166,-0.628,0.681,0.0,0,0.1
1,0.75,15,accelerate,0.821,0.892,12.812,7.892,4.92,-0.071,14.365,12.757,0.0,4.865,-0.892,0.633,0.0,0,0.15
1,0.8,16,accelerate,1.035,0.976,12.814,7.976,4.838,0.059,13.128,12.711,0.0,4.735,-0.976,0.614,0.0,0,0.2
1,0.85,17,accelerate,1.162,1.139,12.816,8.139,4.677,0.024,11.254,12.816,1.162,4.677,0.024,0.64,0.0,1,0.0
1,0.9,18,accelerate,1.301,1.189,12.821,8.189,4.633,0.113,10.788,12.821,1.301,4.633,0.113,0.638,0.0,1,0.0
1,0.95,19,accelerate,1.417,1.347,12.827,8.347,4.48,0.07,9.52,12.759,1.301,4.412,-0.046,0.604,0.0,0,0.05
1,1.0,20,accelerate,1.543,1.404,12.834,8.404,4.431,0.139,9.142,12.834,1.543,4.431,0.139,0.613,0.0,1,0.0
1,1.05,21,accelerate,1.645,1.516,12.844,8.516,4.327,0.128,8.471,12.764,1.543,4.248,0.026,0.586,0.0,0,0.05
1,1.1,22,accelerate,1.806,1.586,12.855,8.586,4.269,0.22,8.107,12.855,1.806,4.269,0.22,0.596,0.0,1,0.0
1,1.15,23,accelerate,1.917,1.693,12.868,8.693,4.175,0.224,7.599,12.868,1.917,4.175,0.224,0.584,0.0,1,0.0
1,1.2,24,accelerate,2.082,1.746,12.885,8.746,4.139,0.336,7.379,12.885,2.082,4.139,0.336,0.584,0.0,1,0.0
1,1.25,25,accelerate,2.228,1.821,12.907,8.821,4.086,0.408,7.089,12.907,2.228,4.086,0.408,0.58,0.0,1,0.0
1,1.3,26,accelerate,2.418,1.868,12.934,8.868,4.065,0.55,6.923,12.934,2.418,4.065,0.55,0.583,0.0,1,0.0
1,1.35,27,accelerate,2.584,1.955,12.966,8.955,4.011,0.629,6.632,12.966,2.584,4.011,0.629,0.579,0.0,1,0.0
1,1.4,28,accelerate,2.755,2.015,13.004,9.015,3.988,0.74,6.452,13.004,2.755,3.988,0.74,0.58,0.0,1,0.0
1,1.45,29,accelerate,2.842,2.111,13.043,9.111,3.932,0.731,6.177,13.043,2.842,3.932,0.731,0.573,0.0,1,0.0
1,1.5,30,accelerate,2.887,2.181,13.082,9.181,3.901,0.706,5.999,12.939,2.842,3.758,0.662,0.548,0.0,0,0.05
1,1.55,31,accelerate,2.886,2.279,13.117,9.279,3.838,0.607,5.755,13.117,2.886,3.838,0.607,0.557,0.0,1,0.0
