episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
11,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,0,0.05
11,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.0,5.822,-0.003,0.778,0.0,0,0.1
11,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
11,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
11,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,1,0.0
11,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.782,0.0,1,0.0
11,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.783,0.0,1,0.0
11,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
11,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
11,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.786,0.0,0,0.05
11,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.787,0.0,0,0.1
11,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.788,0.0,0,0.15
11,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
11,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.796,0.158,5.168,-0.47,0.687,0.0,0,0.05
11,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.352,12.758,0.158,4.865,-0.734,0.638,0.0,0,0.1
11,0.8,16,accelerate,1.035,0.982,12.814,7.982,4.832,0.052,13.045,12.713,0.158,4.73,-0.824,0.618,0.0,0,0.15
11,0.85,17,accelerate,1.162,1.089,12.819,8.089,4.729,0.073,11.766,12.663,0.158,4.573,-0.931,0.595,0.0,0,0.2
11,0.9,18,accelerate,1.301,1.238,12.824,8.238,4.586,0.063,10.357,12.824,1.301,4.586,0.063,0.63,0.0,1,0.0
11,0.95,19,accelerate,1.417,1.328,12.829,8.328,4.501,0.089,9.658,12.829,1.417,4.501,0.089,0.62,0.0,1,0.0
11,1.0,20,accelerate,1.543,1.416,12.837,8.416,4.421,0.126,9.064,12.764,1.417,4.348,0.001,0.598,0.0,0,0.05
11,1.05,21,accelerate,1.645,1.528,12.846,8.528,4.318,0.116,8.405,12.846,1.645,4.318,0.116,0.598,0.0,1,0.0
11,1.1,22,accelerate,1.806,1.588,12.858,8.588,4.27,0.218,8.098,12.771,1.645,4.183,0.057,0.579,0.0,0,0.05
11,1.15,23,accelerate,1.917,1.659,12.872,8.659,4.213,0.258,7.759,12.872,1.917,4.213,0.258,0.59,0.0,1,0.0
11,1.2,24,accelerate,2.082,1.726,12.89,8.726,4.164,0.356,7.468,12.79,1.917,4.064,0.191,0.569,0.0,0,0.05
11,1.25,25,accelerate,2.228,1.797,12.912,8.797,4.115,0.431,7.185,12.912,2.228,4.115,0.431,0.585,0.0,1,0.0
11,1.3,26,accelerate,2.418,1.865,12.94,8.865,4.075,0.553,6.94,12.94,2.418,4.075,0.553,0.584,0.0,1,0.0
11,1.35,27,accelerate,2.584,1.941,12.973,8.941,4.032,0.644,6.684,12.848,2.418,3.907,0.477,0.56,0.0,0,0.05
11,1.4,28,accelerate,2.755,2.015,13.011,9.015,3.995,0.74,6.456,13.011,2.755,3.995,0.74,0.581,0.0,1,0.0
11,1.45,29,accelerate,2.842,2.096,13.051,9.096,3.954,0.746,6.225,12.911,2.755,3.814,0.659,0.555,0.0,0,0.05
11,1.5,30,accelerate,2.887,2.176,13.09,9.176,3.914,0.711,6.016,12.807,2.755,3.631,0.579,0.528,0.0,0,0.1
11,1.55,31,accelerate,2.886,2.257,13.126,9.257,3.869,0.629,5.815,12.699,2.755,3.442,0.498,0.501,0.0,0,0.15
11,1.6,32,accelerate,2.919,2.329,13.159,9.329,3.83,0.589,5.649,13.159,2.919,3.83,0.589,0.556,0.0,1,0.0
11,1.65,33,accelerate,2.98,2.39,13.191,9.39,3.801,0.59,5.52,13.044,2.919,3.654,0.529,0.531,0.0,0,0.05
11,1.7,34,accelerate,3.108,2.44,13.225,9.44,3.785,0.668,5.42,13.225,3.108,3.785,0.668,0.554,0.0,1,0.0
11,1.75,35,accelerate,3.256,2.506,13.263,9.506,3.757,0.749,5.292,13.263,3.256,3.757,0.749,0.554,0.0,1,0.0
11,1.8,36,accelerate,3.447,2.591,13.305,9.591,3.715,0.856,5.136,13.137,3.256,3.547,0.665,0.524,0.0,0,0.05
11,1.85,37,accelerate,3.624,2.678,13.353,9.678,3.675,0.946,4.986,13.008,3.256,3.329,0.577,0.492,0.0,0,0.1
11,1.9,38,accelerate,3.752,2.753,13.404,9.753,3.651,0.999,4.869,13.404,3.752,3.651,0.999,0.55,0.0,1,0.0
